Поле,1,2
ID кандидата,1,2
Источник,site,site
ДАТА заполнения,2026-07-11 08:49:21,2026-07-11 08:54:51
Фамилия,,
Имя,,"Иван### Теперь, скажите, пожалуйста, вашу фамилию?"
Отчество,,
Дата рождения,,
Телефон,,
Telegram,,
Паспорт серия,,
Паспорт номер,,
Кем выдан,,
Дата выдачи,,
Код подразделения выдачи паспорта,,
Адрес регистрации,,
Адрес проживания,,
СНИЛС,,
ИНН,,
Гражданство,,
Город проживания,,
Желаемая должность,монтажник,
Опыт работы,,
Последнее место работы,,
Образование/удостоверения/напиши что есть,,
Рост,,
Вес,,
Размер одежды,,
Размер обуви,,
Судимость,,
Административный надзор,,
Ограничения по здоровью,,
Готовность к вахте,,
Факт ознакомления с ЗАКОНОМ,,Согласие получено 2026-07-11 08:54:58
Факт ознакомления с готовой карточкой,,
